tweets,label
"Correct that's because, Mr #Blair you never got a single big #EU decision right when #PM
#BRexit https://t.co/Tv6U5bH3Dl",leave
Safer In #EU? No! No! No! Terrorists want the UK to STAY https://t.co/qLfOz27XhN Remember 7/7 Paris #Brussels #EUreferendum #remain #brexit,leave
This. https://t.co/WRtzpWsxiT,leave
"We're going to be swamped by Turks and other foreigners, seems to be the extent of the brexit argument.#bbcqt",leave
"#Lexit not #brexit! Public event with great speakers incl MP Graham Stringer &amp; more. 4pm, 11th June @PHMMcr. #bbcqt https://t.co/gWsdq6b6kd",leave
@StrongerIn @StrongerInPress Last I heard it was 1 man/woman 1 vote. So the boss has 1 &amp; all his workers have 1 each #VoteLeave save the UK,leave
"good morning at the gym, persuaded an ""In"" that ""out"" was the best option, explaining TTIP usually does the trick #Brexit #winning",leave
Atlas Crumbles Under Weight of Italian Banks https://t.co/OgZHRKuTze via @MishGEA #EUref #VoteLeave #Brexit,leave
@austeni Well in accordance with [CCC 1883] and [CCC 1885] I think we can still vote for #Brexit,leave
@Independent hang on let's forget his presidential run. A billionaire businessman with investment in uk supports brexit.,leave
@jeremeycorbyn #VoteLeave,leave
@davesdodgydad @morsild @MarkInNorthWest this is preparation for a #StrongerIn win narrative that says the #EUref wasn't fair 🙄,leave
@LeaveEUOfficial https://t.co/hHdz2phKZw,leave
"And he used to be ""out"" until his business was captured by the EU regulatory system. #stockholmsyndrome @vote_leave  https://t.co/gs95FX6oDN",leave
"@Arron_banks @StrongerInPress @vote_leave You can count the number of months before Turks have visa free access to the UK, post June 23!",leave
"Donald Trump backs Brexit, saying UK would be 'better off' without EU https://t.co/4sXHzXDHwt",leave
@truclear are going to vote to be raped on a bus or do your prefer Brexit,leave
@StrongerIn don't forget Putin. A man really on our side :-),leave
Mike Betts: Remove #DavidCameron and #IainDuncanSmith as #PatronsofMotability - Sign the Petition! https://t.co/iEsqq80Vds via @UKChange,leave
@BBCNewsnight good advertisement for #Brexit @GetBritainOut @Greens4GO @vote_leave @LeaveEUOfficial Britain NOT @StrongerIn,leave
#VoteLeave https://t.co/MUJHnwQQ0h,leave
@charmayne11 opinion polls are slowly going brexit way by time 23rd of June we should win,leave
https://t.co/O18HPmPFij yet another 100 or so reasons to leave @BrexitWatch #LeaveEU,leave
"""Left Leave"" #Brexit campaign: Apologists for nationalism and defenders of capitalism https://t.co/BfZlFck7SA
#EUreferendum",leave
Spread the Word https://t.co/vTWUiNuBX1 #voteleave via @vote_leave,leave
