tweets,label,preprocess_tweets
"RT @raymach1: @David_Cameron according to you everything in the World will suffer if we #LeaveEU , very desperate argument #callmedave",leave,rt : according to you everything in the world will suffer if we <hashtag> very desperate argument <hashtag>
N Ireland's £850m farm exports to Republic of Ireland at risk if UK leaves the EU: #Brexit https://t.co/57dBCeqeEl https://t.co/km1Ii8b8Qc,leave,n ireland's <number> m farm exports to republic of ireland at risk if uk leaves the eu : <hashtag> <url> <url>
RT @EU_Mainstream: Yet more evidence that #Brexit will have negative economic impact. Britain's economy is #StrongerIn  https://t.co/UWlnsa…,stay,rt : yet more evidence that <hashtag> will have negative economic impact britain's economy is <hashtag> <url> …
"The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest this, but what now?",leave,the issue in wales is now one of * perception * labour paint plaid as working w ukip / tories to gain power plaid protest this but what now
RT @nickeardleybbc: Two UKIP members of the Welsh Assembly now say they'll back Labour's choice for first minister https://t.co/otcUlAHRak,stay,rt : two ukip members of the welsh assembly now say they'll back labour's choice for first minister <url>
r u 4 real @Vice? https://t.co/uFAtFHMn8D https://t.co/fjThdjpjU3,stay,r u <number> real <url> <url>
Thing people are forgetting about the debate is that @Nigel_Farage will have facts on his side rather than spin. Cameron will lose. #UKIP,stay,thing people are forgetting about the debate is that will have facts on his side rather than spin cameron will lose <hashtag>
RT @rshotton: Small wording changes make huge differences - for Brexit &amp; brands - research by @zenith https://t.co/VwMzgJRqA1 https://t.co/…,stay,rt : small wording changes make huge differences - for brexit amp ; brands - research by <url> <url> / …
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave,rt : this is what the unelected eu elites who make decisions that affect your life think of you <hashtag> <url> …
RT @dariomazzola: In/out UK has to deal with EU!  #Brexit means back of the queue! Expect 5-10yr #trade agreement delay per country!  https…,leave,rt : in / out uk has to deal with eu <hashtag> means back of the queue expect <number> <number> yr <hashtag> agreement delay per country https …
RT @LeftFootFwd: Boris Johnson's #Brexit Bus is peddling a lie - we don't 'send EU £350m a week'. https://t.co/5i5blcXREz #BorisBus https:/…,leave,rt : boris johnson's <hashtag> bus is peddling a lie - we don't ' send eu <number> m a week ' <url> <hashtag> https : / …
"RT @betteroutofEU: ""Brexit would boost Britain’s global influence"" #VoteLeave #LeaveEU #brexit #TakeControl https://t.co/fSKfJpTVuD",leave,"rt : "" brexit would boost britain ’ s global influence "" <hashtag> <hashtag> <hashtag> <hashtag> <url>"
RT @sophgaston: The #Brexit Twittersphere: new @Demos blog maps networks beneath the campaign battleground https://t.co/U9dtkJp2IK https://…,stay,rt : the <hashtag> twittersphere : new blog maps networks beneath the campaign battleground <url> https : / / …
"""We believe it would be a mistake to put one of our most thriving and innovative sectors at risk.” https://t.co/EZqNXLvS6g #Brexit #tech",stay,""" we believe it would be a mistake to put one of our most thriving and innovative sectors at risk ” <url> <hashtag> <hashtag>"
Come along and support the #VoteLeave stall at #Eastleigh market on Saturday 14th May 9am-12,leave,come along and support the <hashtag> stall at <hashtag> market on saturday <number> th may <number> am <number>
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,stay,rt : will you be watching <url>
RT @MitchellGoldie: Follow @brexitbattlebus for constant updates from the Vote Leave Battle Bus! #VoteLeave #TakeControl,stay,rt : follow for constant updates from the vote leave battle bus <hashtag> <hashtag>
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",leave,rt : the <hashtag> are stealing our fish <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <url> …
Ha ha! J'aurais bien aimé tomber sur cet article plus tôt. https://t.co/mQCxlBgbyS via @TheLocalFrance,stay,ha ha j'aurais bien aimé tomber sur cet article plus tôt <url> via
Lord Lamont's reaction to #BoE claims that Britain coudl face recession under #Brexit. Coming up on @skynews,leave,lord lamont's reaction to <hashtag> claims that britain coudl face recession under <hashtag> coming up on
"2 important diary dates – 7 June to register to vote and 23 June for the
#EURef #youcantmissit #yourvotematters",stay,<number> important diary dates – <number> june to register to vote and <number> june for the <hashtag> <hashtag> <hashtag>
"Just to be fair i wish Cameron luck in his fight against corruption. I hope he is sincere, determined and successful in his efforts. #Brexit",stay,just to be fair i wish cameron luck in his fight against corruption i hope he is sincere determined and successful in his efforts <hashtag>
"RT @sonofr: #Brexit is biggest risk to UK economy, warns Bank of England. Of course it is!  https://t.co/16PeENyEQH",leave,rt : <hashtag> is biggest risk to uk economy warns bank of england of course it is <url>
"Lamont: ""If [Mark Carney's] unwise words become self-fulfilling, the responsibility will be the Governor's."" #EUref",stay,"lamont : "" if [ mark carney's ] unwise words become self-fulfilling the responsibility will be the governor's "" <hashtag>"
"RT @ScienceBritain: UK researchers and their families will still be able to live, work and study in the EU should we #Brexit. https://t.co/…",leave,rt : uk researchers and their families will still be able to live work and study in the eu should we <hashtag> <url> / …
news: ITV Denies 'Stitch Up' Over Brexit Debate https://t.co/1T4HrJrVB0,stay,news : itv denies ' stitch up ' over brexit debate <url>
"RT @ajcdeane: For British fishermen, being in the EU isn't having more influence over European affairs. It's ceding control to the EU over…",leave,rt : for british fishermen being in the eu isn't having more influence over european affairs it's ceding control to the eu over …
"[DAILY EXPRESS]: ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have reveal... https://t.co/MzC7fuXCB2",leave,[ daily express ]: another reason to quit eu : brexit would ' create <number> extra jobs ' : new figures have reveal <url>
RT @NewEuropeans: Deadline for #UKexpats to #Register to #Vote  in #EUReferendum is 16 May (next Monday). https://t.co/w2uZc1lRpS https://t…,stay,rt : deadline for <hashtag> to <hashtag> to <hashtag> in <hashtag> is <number> may next monday <url> <url> …
"RT @theordinaryman2: Just think of all the jobs &amp; prosperity that will be created in Fishing Industry if UK #LeaveEU

 #WeWantOurFishBack h…",leave,rt : just think of all the jobs amp ; prosperity that will be created in fishing industry if uk <hashtag> <hashtag> h …
And the best way to do that is #Brexit https://t.co/TkQpN0YSt4,leave,and the best way to do that is <hashtag> <url>
"RT @NCPoliticsEU: Review of the #EUref fundamentals from @whatukthinks, plus the below on phone vs online https://t.co/4hibwHdkGV https://t…",leave,rt : review of the <hashtag> fundamentals from plus the below on phone vs online <url> <url> …
*Press Release* #EUReferendum #Referendum #InOrOut @BorisJohnson @Nigel_Farage @BBCNews @StrongerInPress @Telegraph https://t.co/bRqSOhILnU,stay,* press release * <hashtag> <hashtag> <hashtag> <url>
RT @UKIPolizer: PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,stay,rt : pictures : farage hailed a hero on ‘ <hashtag> red carpet <hashtag> <url> <url>
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",leave,rt : the <hashtag> are stealing our fish <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <url> …
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave,rt : this is what the unelected eu elites who make decisions that affect your life think of you <hashtag> <url> …
Just read this very interesting article by @SteveBackshall discussing #brexit and conservation 🤔 https://t.co/WjDvH1pNg5,leave,just read this very interesting article by discussing <hashtag> and conservation 🤔 <url>
PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,leave,pictures : farage hailed a hero on ‘ <hashtag> red carpet <hashtag> <url> <url>
"RT @MirrorPolitics: Bank of England governor warns Brexit could trigger recession
https://t.co/4P5RCrclKD https://t.co/HvTXWfoNzJ",stay,rt : bank of england governor warns brexit could trigger recession <url> <url>
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",stay,rt : shows the power of simplifying ideas writes <url> <url>
RT @EUVoteLeave23rd: WATCH: #MichaelHoward explains why we should #leave #EU in the time it takes to down a pint https://t.co/LqZnFH8p4J #B…,leave,rt : watch : <hashtag> explains why we should <hashtag> <hashtag> in the time it takes to down a pint <url> <hashtag>
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",stay,rt : re-tweet if you are voting to <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> https : / …
"RT @IAJournal_CH: #Brexit - 'on national security the fight will be conducted through politics, ideology and spin': https://t.co/t2d8o6T6nr…",stay,rt : <hashtag> - ' on national security the fight will be conducted through politics ideology and spin ' : <url> …
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave,rt : absolutely right <elong> has place on <hashtag> tv shame is frit doing it head to head https : …
House Of Cards Creator “Pissed Off” With Obama over #Brexit - Heat Street https://t.co/jB99JuCJs7,leave,house of cards creator “ pissed off ” with obama over <hashtag> - heat street <url>
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,stay,rt : pictures : farage hailed a hero on ‘ brexit the movie ’ red carpet <url> <url>
"RT @Hannah_McGrath: World first review of Brexit:The Movie, now with exclusive red carpet pics for @timesredbox https://t.co/uZVFmHG9cy htt…",leave,rt : world first review of brexit : the movie now with exclusive red carpet pics for <url> htt …
"RT @BBCBreaking: UK interest rates unchanged at 0.5%; Bank of England also warns Brexit may lead to lower growth, higher unemployment https…",leave,rt : uk interest rates unchanged at <number> ; bank of england also warns brexit may lead to lower growth higher unemployment https …
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave,rt : read : true eu immigration figure <number> a year higher than first thought <url>
RT @adamboultonSKY: Personally I think it's appropriate that @Nigel_Farage should have a significant role in some #EUref special programmes,leave,rt : personally i think it's appropriate that should have a significant role in some <hashtag> special programmes
