tweets,label
"RT @raymach1: @David_Cameron according to you everything in the World will suffer if we #LeaveEU , very desperate argument #callmedave",leave
N Ireland's £850m farm exports to Republic of Ireland at risk if UK leaves the EU: #Brexit https://t.co/57dBCeqeEl https://t.co/km1Ii8b8Qc,leave
RT @EU_Mainstream: Yet more evidence that #Brexit will have negative economic impact. Britain's economy is #StrongerIn  https://t.co/UWlnsa…,stay
"The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest this, but what now?",leave
RT @nickeardleybbc: Two UKIP members of the Welsh Assembly now say they'll back Labour's choice for first minister https://t.co/otcUlAHRak,stay
r u 4 real @Vice? https://t.co/uFAtFHMn8D https://t.co/fjThdjpjU3,stay
Thing people are forgetting about the debate is that @Nigel_Farage will have facts on his side rather than spin. Cameron will lose. #UKIP,stay
RT @rshotton: Small wording changes make huge differences - for Brexit &amp; brands - research by @zenith https://t.co/VwMzgJRqA1 https://t.co/…,stay
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave
RT @dariomazzola: In/out UK has to deal with EU!  #Brexit means back of the queue! Expect 5-10yr #trade agreement delay per country!  https…,leave
RT @LeftFootFwd: Boris Johnson's #Brexit Bus is peddling a lie - we don't 'send EU £350m a week'. https://t.co/5i5blcXREz #BorisBus https:/…,leave
"RT @betteroutofEU: ""Brexit would boost Britain’s global influence"" #VoteLeave #LeaveEU #brexit #TakeControl https://t.co/fSKfJpTVuD",leave
RT @sophgaston: The #Brexit Twittersphere: new @Demos blog maps networks beneath the campaign battleground https://t.co/U9dtkJp2IK https://…,stay
"""We believe it would be a mistake to put one of our most thriving and innovative sectors at risk.” https://t.co/EZqNXLvS6g #Brexit #tech",stay
Come along and support the #VoteLeave stall at #Eastleigh market on Saturday 14th May 9am-12,leave
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,stay
RT @MitchellGoldie: Follow @brexitbattlebus for constant updates from the Vote Leave Battle Bus! #VoteLeave #TakeControl,stay
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",leave
Ha ha! J'aurais bien aimé tomber sur cet article plus tôt. https://t.co/mQCxlBgbyS via @TheLocalFrance,stay
Lord Lamont's reaction to #BoE claims that Britain coudl face recession under #Brexit. Coming up on @skynews,leave
"2 important diary dates – 7 June to register to vote and 23 June for the
#EURef #youcantmissit #yourvotematters",stay
"Just to be fair i wish Cameron luck in his fight against corruption. I hope he is sincere, determined and successful in his efforts. #Brexit",stay
"RT @sonofr: #Brexit is biggest risk to UK economy, warns Bank of England. Of course it is!  https://t.co/16PeENyEQH",leave
"Lamont: ""If [Mark Carney's] unwise words become self-fulfilling, the responsibility will be the Governor's."" #EUref",stay
"RT @ScienceBritain: UK researchers and their families will still be able to live, work and study in the EU should we #Brexit. https://t.co/…",leave
news: ITV Denies 'Stitch Up' Over Brexit Debate https://t.co/1T4HrJrVB0,stay
"RT @ajcdeane: For British fishermen, being in the EU isn't having more influence over European affairs. It's ceding control to the EU over…",leave
"[DAILY EXPRESS]: ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have reveal... https://t.co/MzC7fuXCB2",leave
RT @NewEuropeans: Deadline for #UKexpats to #Register to #Vote  in #EUReferendum is 16 May (next Monday). https://t.co/w2uZc1lRpS https://t…,stay
"RT @theordinaryman2: Just think of all the jobs &amp; prosperity that will be created in Fishing Industry if UK #LeaveEU

 #WeWantOurFishBack h…",leave
And the best way to do that is #Brexit https://t.co/TkQpN0YSt4,leave
"RT @NCPoliticsEU: Review of the #EUref fundamentals from @whatukthinks, plus the below on phone vs online https://t.co/4hibwHdkGV https://t…",leave
*Press Release* #EUReferendum #Referendum #InOrOut @BorisJohnson @Nigel_Farage @BBCNews @StrongerInPress @Telegraph https://t.co/bRqSOhILnU,stay
RT @UKIPolizer: PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,stay
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",leave
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave
Just read this very interesting article by @SteveBackshall discussing #brexit and conservation 🤔 https://t.co/WjDvH1pNg5,leave
PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,leave
"RT @MirrorPolitics: Bank of England governor warns Brexit could trigger recession
https://t.co/4P5RCrclKD https://t.co/HvTXWfoNzJ",stay
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",stay
RT @EUVoteLeave23rd: WATCH: #MichaelHoward explains why we should #leave #EU in the time it takes to down a pint https://t.co/LqZnFH8p4J #B…,leave
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",stay
"RT @IAJournal_CH: #Brexit - 'on national security the fight will be conducted through politics, ideology and spin': https://t.co/t2d8o6T6nr…",stay
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave
House Of Cards Creator “Pissed Off” With Obama over #Brexit - Heat Street https://t.co/jB99JuCJs7,leave
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,stay
"RT @Hannah_McGrath: World first review of Brexit:The Movie, now with exclusive red carpet pics for @timesredbox https://t.co/uZVFmHG9cy htt…",leave
"RT @BBCBreaking: UK interest rates unchanged at 0.5%; Bank of England also warns Brexit may lead to lower growth, higher unemployment https…",leave
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave
RT @adamboultonSKY: Personally I think it's appropriate that @Nigel_Farage should have a significant role in some #EUref special programmes,leave
"RT @RichardBurgon: Just seen this totalling up of votes cast in England in Council Elections: 
* Lab 38.5%
* Con 27.1%
* Lib Dem 12.8%
* UK…",leave
"The message is clear - Brexit vote may spark recession, Mark Carney warns. We're #StrongerIn. #EUref https://t.co/G7Uz0VCg6d",stay
@BBCNews #Brexit @vote_leave @LeaveEUOfficial @GetBritainOut,stay
"RT @britinfluence: White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
http…",stay
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,stay
https://t.co/9F72e6GzwJ VoteLeave @oflynnmep  @Stewart4Pboro https://t.co/GA9lectH4g,stay
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave
"RT @MirrorPolitics: Boris Johnson distances himself from Brexit campaign attack on ITV
https://t.co/anrCUsYiKR https://t.co/NVaEZcF3sF",stay
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave
"RT @darryl1974: 8.7% of Britain First's 2nd choices plus 7.1% of BNP's went to Sadiq Khan, but only 6.3% of Ukip votes went his way https:/…",leave
"Boris Johnson distances himself from Brexit campaign attack on ITV
https://t.co/anrCUsYiKR https://t.co/NVaEZcF3sF",stay
"Brexit could lead to recession, says Bank of England https://t.co/F7o4Udshvv",leave
"RT @LSEnews: Explore our #LSEBrexitVote video series, covering all sides of the debate on #EUReferendum https://t.co/ONFWVlkLDI https://t.c…",leave
RT @jenny_at_home: The government's #brexit leaflet has the same design as Cards Against Humanity. https://t.co/LM6EjoD21F,leave
@UKIP I've watched Nigel at the European Parliament  - he should wipe the floor with Cameron.,stay
"I'm the Bane of your life, Dave! Boris channels menacing Batman villain as he tools up during... - https://t.co/k5XzQSfavU - #Batman",leave
"EU delay budget proposal until after #Brexit, need to cover migration expenses, inc.
££ help to Turkey &amp; Africa. https://t.co/eXkAyNNSel",stay
"RT @julia_reid: HoL: Nigel Farage at ""Trade Beyond the EU - BREXIT &amp; the Commonwealth with NZ Deputy PM Winston Peters MP https://t.co/RbQu…",stay
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,stay
RT @vote_leave: .@BorisJohnson getting down to business in Christchurch on the #VoteLeave #BattleBus tour https://t.co/bUkycSJTMM,leave
"If #Brexit goes through, I wonder how it would affect the @premierleague.",stay
RT @dan_stones: @BrexitTheMovie Loved the film last night. Brought my Romanian friend along so he could see why both our countries should #…,leave
RT @UKIP: Read @Steven_Woolfe: Europol's actions prove the threat of terrorism via the Balkan Migrant route https://t.co/klvtpwz0oH,leave
RT @adamboultonSKY: Personally I think it's appropriate that @Nigel_Farage should have a significant role in some #EUref special programmes,leave
"White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
https://t.co/puiq6WpK2V",stay
"RT @RedHotSquirrel: 43 days to enthuse the unenthused, enlighten the misinformed, win over waverers and reclaim our country. #VoteLeave htt…",leave
Some UK employers are unfazed by the potential impact of Brexit on their workforce https://t.co/c7lMitcaeF https://t.co/ujSfvPT6pn,leave
It will be faster to come home #VoteLeave &gt;&gt; Business travellers fear Brexit due to delays at passport control https://t.co/yGsefk36hm,leave
RT @DavidMilwr: Clearly designed to upset  Brexit side and divide the groups Farage should not have accepted just couldn't resist https://t…,leave
"Mark Carney &amp; Mystic Meg went to same fortune telling school. Brexit vote may spark recession, Mark Carney warns https://t.co/3PcnOCUfhu",stay
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,stay
RT @CommunitiesUK: Know a Brit living outside the UK? RT to remind them overseas voters should register by 16 May to vote in the #EUref htt…,stay
RT @dair_allan: @welshpolitical seems everything is sorted and Labour cut a grubby backroom deal with UKIP. Labour - the #shame of Wales.,stay
"Brexit may spark recession, Carney warns: The Bank of England has given its starkest warning yet that a vote ... https://t.co/EPrkcFs3iS",stay
RT @BrexitTheMovie: You're invited to the BREXIT THE MOVIE Premiere on the 11th May! https://t.co/s6Kaym53FU https://t.co/dPfJk422oF,stay
RT @JonathanPlaid: Labour to deal with UKIP -pure hypocrites. Looking forward to seeing their Welsh based MPs vent their disgust,stay
RT @dan_stones: @BrexitTheMovie Loved the film last night. Brought my Romanian friend along so he could see why both our countries should #…,stay
GBP/EUR Exchange Rate Forecast to Strengthen as BoE Warn of ‘Brexit’ Risks: Bank of England... https://t.co/r2KvIXS44G #fx #forex #money,stay
"Brexit may spark recession, Carney warns: The Bank of England has given its starkest warning yet that a vote ... https://t.co/oTrn1gU6hL",stay
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",leave
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",stay
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,leave
".@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM   https://t.co/VYjlOnIQUZ via #prweek… https://t.co/pYykoGu31Q",leave
RT @UKIP_PBO: UKIP have been fighting long and hard for Brexit. Now the rest of Peterborough is joining us. No matter what your... https://…,leave
"""Neither Holy, nor Roman, nor an Empire"" - so blueprint for the EU? #EUreferendum https://t.co/nJ7f4U4t7u https://t.co/ODoQNZvtdv",stay
"Brexit vote may spark recession, Mark Carney warns https://t.co/6berF2q9J4",stay
"RT @simplysimontfa: 4 more good reasons to #VoteLeave - Blair, Brown, Cameron and Major: four Prime Ministers who led us into economic disa…",leave
What time Brexit The Movie on YouTube: told 3pm???,stay
RT @iainjwatson: Essentially @Nigel_Farage's argument is no one party can win the referendum and there needs to be a broader range of brexi…,stay
Bank's warning of a Brexit double whammy is very handy for Osborne - https://t.co/4UhrMIMOVZ,stay
Britische Notenbank warnt vor schweren „Brexit“-Folgen: Eine Rezession und steigende Arbe... https://t.co/w1h5mKM2fA via @FAZ_Wirtschaft,leave
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",stay
RT @LBRuT_Help: EU Referendum Key Dates https://t.co/0JZtJorW4G #EUreferendum https://t.co/0iZwx14EY0,leave
2/2 I'm starting to think instead that people in high places stand to lose an awful lot of cash #VoteLeave #Nottheendoftheworld,leave
@h_sharma @faisalislam Really? Predicting a small rise in interest rates is comparable to predicting a smash on Brexit?UH-huh.You said it.,stay
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",stay
RT @UKIP: Read: UKIP Leader @Nigel_Farage's weekly referendum diary every Wednesday in the @Daily_Express https://t.co/hfLgOMvhdk,leave
"@HelenP3617 but yes, that was also my thought - not that would be a deal, but that UKIP flip would tar Labour also - until recent briefings.",stay
@SHill150 @ITV @vote_leave I am assuming you mean in the Brexit camp. The problem: Mr Farage's views are associated by some with racism.,stay
Swiss scientists share Brexit concerns https://t.co/fSQtMKeuLp (Google Alerts),stay
"‘President Trump’ is scarier for markets than a Brexit, says star fund manager https://t.co/QvJsfxBhkp #VoteLeave",leave
"RT @Stevie_Leary: After all the usual @theSNP hype &amp; rhetoric, it's their voters leading the way for #Brexit in Scotland. #LeaveEU https://…",leave
BREXIT THE MOVIE - NAME THAT EUROCRAT https://t.co/ILxbH0gQ8L via @YouTube,leave
RT @JeffTijssen: Why #Brexit puts London's technology sector at risk https://t.co/vtMaiDmIxq via @standardnews @RussShaw1 @eileentso @Naomi…,stay
@Far_Right_Watch @erswell_tim I'm not a paid employee of UKIP you utter fool.,stay
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave
"RT @JHSaltGroup: Got unticked boxes on your #BRexit decision list? 
Come to this debate to tick all. 
https://t.co/Q07YGhuGXf 
@jesushouseu…",stay
RT @subtel1: Stop any further destruction of our manufacturing industries NOW. #VoteLeave #Brexit #EUref Sack Vatman &amp; Knobend https://t.co…,leave
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,leave
"RT @PeoplesNHS: IDS, member of posh Buck’s Club, says EU favours Haves over Have-nots But quiet on saving #NHS from #TTIP #EURef https://t.…",leave
@Construction_IC Barratt Development warning Brexit Camp,stay
RT @MitchellGoldie: My article for @vote_leave in my local newspaper #VoteLeave https://t.co/YV7tnU7nT2,leave
What's the most important thing for you to know the #InsAndOuts of in the #EUReferendum?,leave
Green Party Agriculture Spokesperson from the South West on yesterday's EU migration report #EUreferendum #GreenerIN https://t.co/Gc23ilZbfV,leave
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,leave
@HelenP3617 except they've no need to: &amp; as soon as that balloon went up UKIP AMs brought it down by saying no talks. Same spin won't stick.,stay
I'll be toasting with Scotch not Champagne on 24/6 to keep £ in UK #VoteLeave &gt; Brexit 'risks Scotch whisky exports' https://t.co/7FcecZyKeQ,leave
RT @James_Sloam: @RoyalHolloway #VoteBecause campaign to boost student turnout in #EUref -post your reasons for voting! @nusuk https://t.co…,stay
RT @FullFact: Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,stay
"RT @PolisLSE: ""One of the key jobs as a factchecker is thinking about what’s being said, and also what isn’t being said.""@asippi on the #EU…",stay
"RT @dailyexpressuk: [DAILY EXPRESS]: ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have reveal... https:…",stay
Don't forget to register if you want to vote in the #EURef https://t.co/dwoxTULjJI https://t.co/zDqgyJ3Nnm,stay
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,leave
Get up to 250% bonus on new forex accounts - https://t.co/izcg4rUiGf Germany's Schaeuble says on Brexit Access ... https://t.co/o5BylIEZLT,stay
@oop100 @iVoteLeave I steer clear of people who warn of 'serious consequences'. They can't trust the Father of Brexit to make their case?!,leave
RT @sophgaston: The #Brexit Twittersphere: new @Demos blog maps networks beneath the campaign battleground https://t.co/U9dtkJp2IK https://…,stay
"RT @jonnohopkins: Pranking UKIP's David Coburn during a Periscope broadcast by telling him his mic's not on. Highlight of the week.
https:/…",leave
Farage’s “big night” should worry the Ukip People’s Army – UK in a changing Europe https://t.co/OK99gBOkX5,leave
RT @BradcoachGSC: #Brexit  Mark Carney doesn't have best track record on forecasting what the economy will do.  Ignore his comments @eurefe…,stay
@Amathyst25 erm... NIESR says there will be an economic shock too. And economy will be 1.5pc to 7.8pc smaller if Brexit! #VoteRemain,stay
"""Brexit vote may spark recession, Mark Carney warns"" There will be one regardless of EU Ref outcome.  Already started in manufacturing.",stay
RT @MeetingsShow: The Meetings Show to host #Brexit debate with @Eventhuddle - one not to miss! https://t.co/Gy4mysrhnb #eventprofs https:/…,leave
"RT @ajcdeane: How many people working for the #EU do you think are paid more than the UK PM? 5? 10? No. 10,000. #brexitthemovie #Brexit",stay
@Vaughan_Wms @wimthetim  For Welsh Labour replace Tory with UKIP! https://t.co/yHrFdLMBjI,leave
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,stay
RT @LBC: David Cameron will take on Nigel Farage in a #Brexit debate. Who do you think will win? https://t.co/PDbaEdQQMV,leave
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,stay
RT @dmck52: Received governments Pro EU propaganda booklet today. Vote #LeaveEU https://t.co/kgi5H9gwUh,stay
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",leave
Touchstone Blog: Brexit bonfire of regulations would be a bonanza for worst kind of finan... https://t.co/wYRnc9FS4p via @touchstoneblog,leave
Today we held the voting for our mock #EUreferendum It was brilliant to see so many pupils of all ages voting. https://t.co/UMYVf4gwI6,stay
Get up to 250% bonus on new forex accounts - https://t.co/B5W21A154C Germany's Schaeuble says on Brexit Access ... https://t.co/MAF73C9SOd,stay
"RT @CllrBSilvester: Bryant's UKIP Bashing Comes Back to Bite Him 
https://t.co/hSTeJqksab via @guidofawkes",stay
"RT @ajcdeane: How many people working for the #EU do you think are paid more than the UK PM? 5? 10? No. 10,000. #brexitthemovie #Brexit",leave
"@itvnews 
In this referendum the whole is much more important than the parts, all of Brexit spoke's people are brilliant debaters. Vote out",stay
RT @davidicke: Brexit poll: Almost half of Europeans want own vote on leaving EU: https://t.co/BMOwGvINqn #Brexit #EU #Cameron https://t.co…,stay
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,leave
"JDW boss Tim Martin gives £200,000 to Brexit campaign https://t.co/uVPvfbdp3y @jdwtweet https://t.co/bizjdwJ9WR",stay
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",leave
Excited to go to House of Lords for #Brexit debate w @WiPPuk! Newbie to the UK &amp; ready to learn more #PublicPolicy https://t.co/nCbbW5hhOs,leave
RT @FullFact: Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,stay
How the Brexit campaigns match up https://t.co/C2X6VYCMHv @marketingweeked #news,leave
RT @VernallsE: Spread the Word https://t.co/dgd4v70Fm7 #voteleave via @vote_leave,leave
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,stay
"RT @wearebankable: Bankable supports a European Britain. #StrongerIn

https://t.co/fUkU6dB3hf #fintech #startups #innovation #tech https://…",stay
RT @gale_adam: Really looking forward to the #Brexit movie premiere this evening in #leicestersquare. #Britain @BrexitTheMovie @vote_leave…,stay
RT @LeftFootFwd: Boris Johnson's #Brexit Bus is peddling a lie - we don't 'send EU £350m a week'. https://t.co/5i5blcXREz #BorisBus https:/…,leave
RT @plymouthcc: Make sure you’re registered to vote in the #EURef on 23 June – deadline is 7 June https://t.co/8JhoYJ4oSE,stay
Vote Leave Brexit Campaign Accused Of 'Shocking Bullying Tactics' Against ITV https://t.co/Li9BgoeRu6,stay
More scaremongering @D_Blanchflower. #brexit #VoteLeave All speculation and no substance.,leave
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,leave
"""One of the key jobs as a factchecker is thinking about what’s being said, and also what isn’t being said.""@asippi on the #EUref #NISLON",leave
RT @thgreenparty: So many of our environmental &amp; social policy achievements are at risk from the Tory-UKIP #Brexit group. #GreenerIN https:…,leave
"1/2 So far this weak we've been told brexit could lead to possible war, a recession and now Dodgy Dave is picking his opponents.  #VoteLeave",leave
"@PaulGreig69 @bbclaurak Why? Given the millions of £s Gvnmt is spending on Remain, I think Whittingdale's can say what he wants #Brexit",leave
Imagine if we #VoteLeave on 23 June https://t.co/Pj7GRWntJN,leave
RT @t0nyyates: Economists against Brexit https://t.co/QCm8ydeOqR,stay
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,stay
"ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have revealed that an extra ... https://t.co/clNEW3Yyeq",leave
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,stay
RT @LBC: David Cameron will take on Nigel Farage in a #Brexit debate. Who do you think will win? https://t.co/PDbaEdQQMV,leave
RT @gemini2359: #EUref Well what do you expect ! He was a member of the Bullingdon Club ! Boris Johnson's camp just threatened ITV https://…,leave
